,trials,multiplications,threads,time,implementation,batchsize,effective_multiplications
121,566,302,2,1.063482458,numpy,1,170932
122,110,368,4,0.335704188,numpy,1,40480
123,971,196,4,1.190239101,numpy,1,190316
124,377,2,8,0.100364168,numpy,1,754
125,348,501,8,1.121548478,numpy,1,174348
126,309,724,2,1.348468853,numpy,1,223716
127,70,231,1,0.183080612,numpy,1,16170
128,849,175,2,0.945078222,numpy,1,148575
129,688,926,4,3.675583189,numpy,1,637088
130,387,896,4,2.062918086,numpy,1,346752
131,209,218,1,0.349948698,numpy,1,45562
132,847,915,8,4.426545818,numpy,1,775005
133,342,22,8,0.157207017,numpy,1,7524
134,500,787,8,2.295991873,numpy,1,393500
135,397,92,1,0.30319005,numpy,1,36524
136,645,911,2,3.404376674,numpy,1,587595
137,516,829,8,2.519241737,numpy,1,427764
138,556,689,4,2.272793507,numpy,1,383084
139,518,772,1,2.331323406,numpy,1,399896
140,830,63,8,0.437312995,numpy,1,52290
141,734,961,8,4.008814907,numpy,1,705374
142,965,944,8,5.280069047,numpy,1,910960
143,826,55,4,0.364221171,numpy,1,45430
144,58,273,4,0.196777748,numpy,1,15834
145,229,331,2,0.528536519,numpy,1,75799
146,688,892,4,3.49006324,numpy,1,613696
147,379,97,1,0.303928392,numpy,1,36763
148,312,235,1,0.505216555,numpy,1,73320
149,358,858,2,1.833400608,numpy,1,307164
150,313,539,2,1.049884086,numpy,1,168707
151,969,902,8,5.089160328,numpy,1,874038
152,891,513,1,2.641606537,numpy,1,457083
153,794,215,1,1.057531905,numpy,1,170710
154,585,148,1,0.584529978,numpy,1,86580
155,3,405,2,0.097971457,numpy,1,1215
156,134,858,4,0.741061381,numpy,1,114972
157,338,244,4,0.624295584,numpy,1,82472
158,18,95,1,0.103346972,numpy,1,1710
159,75,687,8,0.43615152,numpy,1,51525
160,548,121,8,0.514121609,numpy,1,66308
161,818,121,8,0.690409182,numpy,1,98978
162,280,118,4,0.300528867,numpy,1,33040
163,905,419,4,2.235725403,numpy,1,379195
164,430,158,2,0.474163503,numpy,1,67940
165,80,72,4,0.138839777,numpy,1,5760
166,903,515,8,2.750678899,numpy,1,465045
167,94,571,1,0.390110785,numpy,1,53674
168,693,569,4,2.316447143,numpy,1,394317
169,799,370,1,1.778076311,numpy,1,295630
170,680,324,1,1.348334892,numpy,1,220320
171,315,519,1,1.009294859,numpy,1,163485
172,600,141,4,0.610654994,numpy,1,84600
173,165,213,1,0.291790005,numpy,1,35145
174,754,492,1,2.190923478,numpy,1,370968
175,553,194,1,0.713915474,numpy,1,107282
176,724,377,8,1.691509458,numpy,1,272948
177,860,675,1,3.392568334,numpy,1,580500
178,62,102,8,0.13815758,numpy,1,6324
179,520,780,1,2.385005499,numpy,1,405600
180,199,493,1,0.649686845,numpy,1,98107
181,980,248,4,1.511402714,numpy,1,243040
182,692,168,4,0.771368576,numpy,1,116256
183,836,473,4,2.37533929,numpy,1,395428
184,136,721,8,0.71106175,numpy,1,98056
185,278,316,4,0.601892927,numpy,1,87848
186,47,198,1,0.146112024,numpy,1,9306
187,187,90,8,0.212330999,numpy,1,16830
188,507,856,8,2.62116372,numpy,1,433992
189,530,197,1,0.707787339,numpy,1,104410
190,813,179,1,0.917072776,numpy,1,145527
191,803,396,8,1.955251967,numpy,1,317988
192,430,343,8,0.986184709,numpy,1,147490
193,280,600,2,1.044156262,numpy,1,168000
194,255,86,4,0.247209915,numpy,1,21930
195,551,700,4,2.2798712,numpy,1,385700
196,505,596,4,1.816779267,numpy,1,300980
197,550,115,4,0.469952498,numpy,1,63250
198,421,700,1,1.715269134,numpy,1,294700
199,653,850,2,3.171382746,numpy,1,555050
200,725,318,8,1.477541874,numpy,1,230550
201,854,394,8,2.006174853,numpy,1,336476
202,108,823,1,0.596121592,numpy,1,88884
203,525,327,2,1.058322957,numpy,1,171675
204,262,553,4,0.923351462,numpy,1,144886
205,163,513,1,0.557914275,numpy,1,83619
206,514,11,1,0.131486339,numpy,1,5654
207,11,557,8,0.11926671,numpy,1,6127
208,311,598,4,1.128077222,numpy,1,185978
209,340,603,1,1.271841189,numpy,1,205020
210,809,842,4,4.03853312,numpy,1,681178
211,205,12,8,0.109400016,numpy,1,2460
212,374,714,8,1.660265738,numpy,1,267036
213,525,420,1,1.330019209,numpy,1,220500
214,50,631,8,0.297529431,numpy,1,31550
215,514,354,8,1.181712847,numpy,1,181956
216,707,471,1,1.964798321,numpy,1,332997
217,293,456,4,0.886753668,numpy,1,133608
218,36,468,8,0.192290797,numpy,1,16848
219,90,204,8,0.216844199,numpy,1,18360
220,159,474,2,0.525883191,numpy,1,75366
221,750,173,1,0.840804305,numpy,1,129750
222,246,380,8,0.644337188,numpy,1,93480
223,697,480,8,2.055837199,numpy,1,334560
224,367,640,2,1.410634389,numpy,1,234880
225,824,950,1,4.521596166,numpy,1,782800
226,563,324,1,1.125909422,numpy,1,182412
227,415,853,1,2.113480617,numpy,1,353995
228,58,140,1,0.141690134,numpy,1,8120
229,165,665,1,0.718525185,numpy,1,109725
230,308,710,8,1.388077865,numpy,1,218680
231,24,251,8,0.144415127,numpy,1,6024
232,227,227,2,0.386778777,numpy,1,51529
233,765,781,2,3.448997109,numpy,1,597465
234,28,242,4,0.14269734,numpy,1,6776
235,940,911,1,4.919944095,numpy,1,856340
236,304,314,8,0.65914338,numpy,1,95456
237,342,12,8,0.118975464,numpy,1,4104
238,559,98,1,0.407883733,numpy,1,54782
239,608,183,8,0.736635103,numpy,1,111264
240,769,907,2,3.95167971,numpy,1,697483
241,954,945,8,5.17444961,numpy,1,901530
242,375,979,8,2.170394741,numpy,1,367125
243,402,857,1,2.012130534,numpy,1,344514
244,711,631,4,2.636671747,numpy,1,448641
245,508,921,4,2.76359369,numpy,1,467868
246,678,96,2,0.470622844,numpy,1,65088
247,275,743,4,1.265869989,numpy,1,204325
248,897,557,2,2.919682293,numpy,1,499629
249,683,28,4,0.228922163,numpy,1,19124
250,612,5,8,0.116054135,numpy,1,3060
251,715,167,2,0.779061059,numpy,1,119405
252,826,736,1,3.526843455,numpy,1,607936
253,87,797,2,0.473637017,numpy,1,69339
254,408,439,4,1.141416969,numpy,1,179112
255,566,690,4,2.307871336,numpy,1,390540
256,453,944,8,2.558534286,numpy,1,427632
257,208,611,1,0.811326982,numpy,1,127088
258,189,307,8,0.443476236,numpy,1,58023
259,114,25,2,0.116195961,numpy,1,2850
260,765,341,2,1.587833219,numpy,1,260865
261,40,931,8,0.411376954,numpy,1,37240
262,833,102,8,0.656353287,numpy,1,84966
263,287,925,1,1.612489474,numpy,1,265475
264,793,429,2,2.00188436,numpy,1,340197
265,80,430,1,0.300142754,numpy,1,34400
266,585,851,1,2.867173669,numpy,1,497835
267,389,713,8,1.69139876,numpy,1,277357
268,987,81,8,0.604439565,numpy,1,79947
269,395,939,4,2.198067504,numpy,1,370905
270,472,534,4,1.50659973,numpy,1,252048
271,432,141,8,0.498004682,numpy,1,60912
272,314,29,4,0.157289893,numpy,1,9106
273,269,830,2,1.348429259,numpy,1,223270
274,342,964,8,2.056053172,numpy,1,329688
275,148,961,1,0.891623096,numpy,1,142228
276,625,247,4,0.963723543,numpy,1,154375
277,196,132,1,0.247422052,numpy,1,25872
278,589,376,8,1.40445542,numpy,1,221464
279,302,500,8,1.051974259,numpy,1,151000
280,282,49,2,0.183922599,numpy,1,13818
281,357,82,4,0.294143531,numpy,1,29274
282,110,547,2,0.427076209,numpy,1,60170
283,257,125,2,0.288683959,numpy,1,32125
284,786,673,1,3.082162995,numpy,1,528978
285,632,92,8,0.480814275,numpy,1,58144
286,432,306,8,0.938890246,numpy,1,132192
287,454,359,2,1.027663952,numpy,1,162986
288,944,659,8,3.641549425,numpy,1,622096
289,388,654,2,1.498259244,numpy,1,253752
290,945,263,8,1.594505792,numpy,1,248535
291,338,387,2,0.831006239,numpy,1,130806
292,968,687,2,3.845697443,numpy,1,665016
293,2,202,2,0.096097729,numpy,1,404
294,51,604,2,0.281463039,numpy,1,30804
295,376,417,4,1.013881998,numpy,1,156792
296,670,691,2,2.672364839,numpy,1,462970
297,708,469,1,1.932511831,numpy,1,332052
298,204,959,2,1.204787317,numpy,1,195636
299,95,263,4,0.253855782,numpy,1,24985
300,469,37,4,0.212180377,numpy,1,17353
301,752,120,1,0.607754806,numpy,1,90240
302,2,152,2,0.095092373,numpy,1,304
303,204,740,2,0.960375165,numpy,1,150960
304,744,582,4,2.540884033,numpy,1,433008
305,354,901,1,1.917711202,numpy,1,318954
306,968,768,8,4.323942376,numpy,1,743424
307,145,607,2,0.602783428,numpy,1,88015
308,361,439,2,0.981776162,numpy,1,158479
309,15,213,4,0.107928586,numpy,1,3195
310,57,248,4,0.199761226,numpy,1,14136
311,962,354,8,2.090827111,numpy,1,340548
312,429,352,2,0.957679028,numpy,1,151008
313,386,617,1,1.43077316,numpy,1,238162
314,700,90,8,0.492702364,numpy,1,63000
315,365,520,2,1.15817555,numpy,1,189800
316,171,98,1,0.187204817,numpy,1,16758
317,27,655,2,0.19428933,numpy,1,17685
318,4,593,4,0.106431282,numpy,1,2372
319,176,270,8,0.387657137,numpy,1,47520
320,10,273,1,0.10879111,numpy,1,2730
321,359,899,2,1.918118775,numpy,1,322741
322,267,557,1,0.93376676,numpy,1,148719
323,47,945,2,0.354866756,numpy,1,44415
324,252,923,4,1.413971835,numpy,1,232596
325,111,426,4,0.367106561,numpy,1,47286
326,280,943,2,1.612951327,numpy,1,264040
327,381,195,4,0.521296748,numpy,1,74295
328,706,436,4,1.843705577,numpy,1,307816
329,491,652,2,1.914535285,numpy,1,320132
330,902,421,4,2.227266174,numpy,1,379742
331,425,541,4,1.421802055,numpy,1,229925
332,408,965,2,2.356075162,numpy,1,393720
333,996,17,1,0.197177778,numpy,1,16932
334,874,118,4,0.694514708,numpy,1,103132
335,204,459,8,0.694134237,numpy,1,93636
336,727,327,4,1.445280401,numpy,1,237729
337,876,42,8,0.336365057,numpy,1,36792
338,799,103,4,0.588935733,numpy,1,82297
339,172,522,2,0.612491564,numpy,1,89784
340,580,291,2,1.040050254,numpy,1,168780
341,747,252,1,1.162262441,numpy,1,188244
342,391,329,2,0.832156843,numpy,1,128639
343,638,396,2,1.486603386,numpy,1,252648
344,982,218,2,1.339211808,numpy,1,214076
345,323,586,1,1.154725921,numpy,1,189278
346,9,646,2,0.13382571,numpy,1,5814
347,229,336,8,0.565223758,numpy,1,76944
348,175,439,8,0.559946799,numpy,1,76825
349,394,356,1,0.903875466,numpy,1,140264
350,297,332,8,0.704145068,numpy,1,98604
351,589,371,4,1.38948493,numpy,1,218519
352,388,674,1,1.584507534,numpy,1,261512
353,362,228,2,0.566592632,numpy,1,82536
354,569,618,8,2.12385726,numpy,1,351642
355,961,359,2,2.042677685,numpy,1,344999
356,81,707,8,0.495356883,numpy,1,57267
357,569,698,1,2.33623162,numpy,1,397162
358,637,498,2,1.856203947,numpy,1,317226
359,300,44,4,0.19188032,numpy,1,13200
360,627,78,8,0.448770764,numpy,1,48906
361,242,668,2,1.012591075,numpy,1,161656
362,716,883,8,3.651192425,numpy,1,632228
363,262,788,2,1.235449634,numpy,1,206456
364,770,553,1,2.511670309,numpy,1,425810
365,709,883,8,3.553121797,numpy,1,626047
366,636,697,4,2.636196769,numpy,1,443292
367,700,479,8,2.070945479,numpy,1,335300
368,495,859,8,2.497396305,numpy,1,425205
369,593,334,1,1.215716138,numpy,1,198062
370,400,354,2,0.889214418,numpy,1,141600
371,31,984,4,0.310438697,numpy,1,30504
372,316,929,4,1.801155294,numpy,1,293564
373,356,871,2,1.850023836,numpy,1,310076
374,604,242,8,0.969284646,numpy,1,146168
375,71,48,2,0.1190088,numpy,1,3408
376,496,682,4,2.06159891,numpy,1,338272
377,308,270,4,0.5662179,numpy,1,83160
378,28,363,8,0.161308894,numpy,1,10164
379,772,441,1,2.008028264,numpy,1,340452
380,33,91,4,0.116616501,numpy,1,3003
381,906,921,1,4.829831538,numpy,1,834426
382,5,12,1,0.093612683,numpy,1,60
383,503,14,1,0.135907427,numpy,1,7042
384,918,32,1,0.264924084,numpy,1,29376
385,381,442,8,1.178694907,numpy,1,168402
386,597,179,1,0.700425315,numpy,1,106863
387,80,652,4,0.397632482,numpy,1,52160
388,726,659,4,2.783542871,numpy,1,478434
389,88,310,4,0.268675187,numpy,1,27280
390,232,975,8,1.471428266,numpy,1,226200
391,131,490,2,0.447853927,numpy,1,64190
392,401,568,8,1.436743298,numpy,1,227768
393,558,835,2,2.7305941,numpy,1,465930
394,942,382,2,2.141830501,numpy,1,359844
395,299,701,8,1.328211463,numpy,1,209599
396,325,444,1,0.903136203,numpy,1,144300
397,793,400,4,1.897433437,numpy,1,317200
398,790,904,4,4.105768088,numpy,1,714160
399,433,26,4,0.205947508,numpy,1,11258
400,209,291,1,0.437228034,numpy,1,60819
401,475,696,1,1.969273488,numpy,1,330600
402,360,291,4,0.706027493,numpy,1,104760
403,795,668,1,3.115266559,numpy,1,531060
404,543,75,8,0.368309754,numpy,1,40725
405,456,458,8,1.315478564,numpy,1,208848
406,261,846,1,1.36370257,numpy,1,220806
407,574,130,4,0.542428351,numpy,1,74620
408,27,584,4,0.189269924,numpy,1,15768
409,917,143,8,0.870370458,numpy,1,131131
410,836,337,8,1.754620531,numpy,1,281732
411,660,520,4,2.026505507,numpy,1,343200
412,522,266,2,0.891308208,numpy,1,138852
413,522,149,2,0.535397578,numpy,1,77778
414,752,286,8,1.468440722,numpy,1,215072
415,200,715,4,0.937492966,numpy,1,143000
416,662,965,4,3.734055432,numpy,1,638830
417,677,465,2,1.87129449,numpy,1,314805
418,496,847,4,2.484757623,numpy,1,420112
419,605,723,1,2.567827667,numpy,1,437415
420,906,241,4,1.344563307,numpy,1,218346
421,582,956,4,3.274799428,numpy,1,556392
422,87,277,8,0.276044654,numpy,1,24099
423,209,8,1,0.108456764,numpy,1,1672
424,522,905,1,2.775317212,numpy,1,472410
425,845,558,8,2.831745046,numpy,1,471510
426,634,199,4,0.811299754,numpy,1,126166
427,242,538,4,0.840929218,numpy,1,130196
428,751,336,8,1.599989258,numpy,1,252336
429,527,586,4,1.849946792,numpy,1,308822
430,695,711,4,2.842739641,numpy,1,494145
431,28,49,4,0.102744119,numpy,1,1372
432,85,832,4,0.505212505,numpy,1,70720
433,970,949,8,5.293962169,numpy,1,920530
434,732,372,1,1.637115407,numpy,1,272304
435,853,457,4,2.29564325,numpy,1,389821
436,386,12,2,0.129454326,numpy,1,4632
437,199,283,1,0.415215852,numpy,1,56317
438,311,438,1,0.852308552,numpy,1,136218
439,171,880,8,1.014642616,numpy,1,150480
440,224,585,2,0.837600004,numpy,1,131040
441,12,899,4,0.172872284,numpy,1,10788
442,579,867,2,2.914282104,numpy,1,501993
443,364,80,8,0.281550692,numpy,1,29120
444,196,135,2,0.249797854,numpy,1,26460
445,107,653,2,0.480981309,numpy,1,69871
446,484,433,2,1.271905347,numpy,1,209572
447,26,31,4,0.098299869,numpy,1,806
448,551,455,2,1.507421903,numpy,1,250705
449,27,926,4,0.221556651,numpy,1,25002
450,156,650,8,0.697235332,numpy,1,101400
451,861,837,2,4.155700301,numpy,1,720657
452,15,631,2,0.152052735,numpy,1,9465
453,745,231,8,1.124110423,numpy,1,172095
454,606,327,8,1.227994896,numpy,1,198162
455,75,663,2,0.372167135,numpy,1,49725
456,884,411,4,2.185643798,numpy,1,363324
457,637,989,2,3.660562758,numpy,1,629993
458,659,36,1,0.232346912,numpy,1,23724
459,374,681,8,1.605981888,numpy,1,254694
460,439,6,1,0.11171255,numpy,1,2634
461,913,426,8,2.324131636,numpy,1,388938
462,500,288,1,0.905021472,numpy,1,144000
463,114,454,4,0.40129542,numpy,1,51756
464,836,721,2,3.524212141,numpy,1,602756
465,244,328,2,0.537736657,numpy,1,80032
466,821,566,8,2.773501542,numpy,1,464686
467,515,686,1,2.059824477,numpy,1,353290
468,447,701,8,1.876002915,numpy,1,313347
469,363,444,8,1.084341477,numpy,1,161172
470,468,534,8,1.579476655,numpy,1,249912
471,83,730,8,0.460372505,numpy,1,60590
472,161,110,1,0.194282417,numpy,1,17710
473,582,221,8,0.86262188,numpy,1,128622
474,636,543,8,2.117530295,numpy,1,345348
475,205,374,2,0.52271337,numpy,1,76670
476,196,952,2,1.147680842,numpy,1,186592
477,707,30,8,0.263400101,numpy,1,21210
478,817,20,2,0.198908318,numpy,1,16340
479,768,949,2,4.154896547,numpy,1,728832
480,114,563,8,0.492827608,numpy,1,64182
481,447,617,8,1.67468236,numpy,1,275799
482,614,221,2,0.873633126,numpy,1,135694
483,445,723,1,1.886168988,numpy,1,321735
484,747,678,2,2.977491735,numpy,1,506466
485,420,65,1,0.251551799,numpy,1,27300
486,698,384,2,1.597413006,numpy,1,268032
487,833,596,2,2.904215817,numpy,1,496468
488,428,69,4,0.285785451,numpy,1,29532
489,227,721,1,1.005699453,numpy,1,163667
490,237,83,8,0.237480434,numpy,1,19671
491,897,923,1,4.816770184,numpy,1,827931
492,753,20,2,0.195582081,numpy,1,15060
493,575,766,2,2.588188167,numpy,1,440450
494,38,562,4,0.225076642,numpy,1,21356
495,527,867,2,2.684148765,numpy,1,456909
496,517,852,8,2.573081013,numpy,1,440484
497,798,604,2,2.831527148,numpy,1,481992
498,987,190,8,1.21156137,numpy,1,187530
499,992,936,2,5.336713548,numpy,1,928512
500,191,846,2,1.00536184,numpy,1,161586
501,893,742,8,3.845815602,numpy,1,662606
502,69,294,2,0.215694296,numpy,1,20286
503,184,830,4,0.984306531,numpy,1,152720
504,35,412,8,0.197208716,numpy,1,14420
505,103,302,2,0.273702408,numpy,1,31106
506,608,153,1,0.62159081,numpy,1,93024
507,386,979,1,2.257053122,numpy,1,377894
508,640,300,1,1.183757255,numpy,1,192000
509,828,198,4,1.069614465,numpy,1,163944
510,476,340,1,0.99889847,numpy,1,161840
511,293,715,4,1.308095902,numpy,1,209495
512,189,835,8,1.005228241,numpy,1,157815
513,70,907,1,0.449183046,numpy,1,63490
514,263,892,4,1.42770138,numpy,1,234596
515,58,834,8,0.394989093,numpy,1,48372
516,688,974,2,3.858385505,numpy,1,670112
517,743,180,8,0.912202095,numpy,1,133740
518,378,548,1,1.24467751,numpy,1,207144
519,295,656,4,1.193517137,numpy,1,193520
520,661,620,1,2.423729645,numpy,1,409820
521,764,31,8,0.279272848,numpy,1,23684
522,465,554,1,1.54863899,numpy,1,257610
523,664,625,1,2.428145042,numpy,1,415000
524,659,493,2,1.921211104,numpy,1,324887
525,151,877,2,0.833746159,numpy,1,132427
526,846,566,1,2.782415151,numpy,1,478836
527,409,775,1,1.873016303,numpy,1,316975
528,81,348,8,0.275951129,numpy,1,28188
529,249,290,1,0.50615522,numpy,1,72210
530,374,603,8,1.392563784,numpy,1,225522
531,664,974,1,3.732006046,numpy,1,646736
532,521,235,1,0.787719478,numpy,1,122435
533,570,168,2,0.639720483,numpy,1,95760
534,67,465,2,0.274366493,numpy,1,31155
535,10,738,2,0.145433873,numpy,1,7380
536,658,119,1,0.538869017,numpy,1,78302
537,411,913,2,2.210721669,numpy,1,375243
538,726,314,1,1.401290814,numpy,1,227964
539,737,603,4,2.613637013,numpy,1,444411
540,154,518,1,0.540694004,numpy,1,79772
541,785,84,8,0.521974517,numpy,1,65940
542,21,176,1,0.11422853,numpy,1,3696
543,115,547,2,0.440552938,numpy,1,62905
544,854,358,4,1.824187275,numpy,1,305732
545,895,900,1,4.672778481,numpy,1,805500
546,411,248,1,0.664142625,numpy,1,101928
547,633,295,2,1.129465819,numpy,1,186735
548,592,753,8,2.687546286,numpy,1,445776
549,564,548,1,1.839687946,numpy,1,309072
550,856,818,8,4.134511081,numpy,1,700208
551,367,83,1,0.266672628,numpy,1,30461
552,718,875,8,3.667404979,numpy,1,628250
553,380,611,2,1.416145885,numpy,1,232180
554,633,183,4,0.780241307,numpy,1,115839
555,184,932,1,1.059386185,numpy,1,171488
556,836,882,2,4.237156755,numpy,1,737352
557,85,115,1,0.148851651,numpy,1,9775
558,37,692,8,0.27763925,numpy,1,25604
559,833,105,8,0.660691184,numpy,1,87465
560,632,569,8,2.109360529,numpy,1,359608
561,328,378,1,0.794930679,numpy,1,123984
562,10,554,4,0.122274123,numpy,1,5540
563,401,489,2,1.193961478,numpy,1,196089
564,849,507,4,2.54589272,numpy,1,430443
565,896,824,4,4.304185767,numpy,1,738304
566,168,569,4,0.66081743,numpy,1,95592
567,697,892,8,3.624321808,numpy,1,621724
568,525,59,8,0.293870799,numpy,1,30975
569,507,433,4,1.376295646,numpy,1,219531
570,472,199,8,0.686635477,numpy,1,93928
571,737,551,8,2.445672036,numpy,1,406087
572,346,627,8,1.342656397,numpy,1,216942
573,867,599,4,3.094114779,numpy,1,519333
574,765,106,8,0.597449141,numpy,1,81090
575,31,521,8,0.18672026,numpy,1,16151
576,329,54,4,0.212917968,numpy,1,17766
577,802,11,2,0.177452819,numpy,1,8822
578,349,713,8,1.509372105,numpy,1,248837
579,968,4,8,0.143390938,numpy,1,3872
580,908,799,2,4.16572546,numpy,1,725492
581,239,467,8,0.795678799,numpy,1,111613
582,438,442,1,1.171701864,numpy,1,193596
583,537,852,8,2.756404754,numpy,1,457524
584,307,798,2,1.476447443,numpy,1,244986
585,535,440,1,1.427499842,numpy,1,235400
586,804,520,2,2.464222567,numpy,1,418080
587,520,785,8,2.463024654,numpy,1,408200
588,971,611,8,3.500523021,numpy,1,593281
589,11,140,2,0.102692091,numpy,1,1540
590,247,398,2,0.647638185,numpy,1,98306
591,577,128,4,0.531902214,numpy,1,73856
592,653,814,2,3.117769926,numpy,1,531542
593,883,833,4,4.272173864,numpy,1,735539
594,697,507,4,2.045224683,numpy,1,353379
595,526,440,2,1.42322564,numpy,1,231440
596,704,468,1,1.951486365,numpy,1,329472
597,904,246,4,1.39946243,numpy,1,222384
598,181,132,2,0.238795235,numpy,1,23892
599,581,391,8,1.418604277,numpy,1,227171
600,160,726,4,0.768424373,numpy,1,116160
601,847,339,4,1.735346717,numpy,1,287133
602,39,494,4,0.248558234,numpy,1,19266
603,564,485,4,1.666124087,numpy,1,273540
604,9,641,2,0.133376439,numpy,1,5769
605,326,61,4,0.225746756,numpy,1,19886
