trials,multiplications,batchsize,time
1435,2180,32,6396718159
1032,14,32,2521031721
2399,1111,32,5882463581
856,1208,64,3149302592
1284,616,256,2624568880
844,406,8,4272027990
1731,1911,32,7070879315
88,1959,64,2581518579
241,617,64,2581446343
2018,83,8,3419971192
169,172,64,2504900668
839,2228,8,11863010672
339,1293,64,2779512569
1816,1634,256,2972422993
2263,1796,64,5263138775
1470,603,64,3062319770
177,47,8,2533553950
1295,2219,8,16959714940
2341,733,64,3590147073
1268,2395,64,4396498130
237,312,64,2514832728
186,1910,64,2647963107
2469,453,8,8740512572
732,1126,8,6861144921
2372,920,64,3908136838
2208,457,32,3813502353
1836,2047,8,22167801099
2195,956,8,13173203687
491,529,32,2798844163
832,1707,32,4280175270
23,1188,64,1909901674
2193,567,8,8993195146
623,641,8,4539043703
976,1728,32,4631957577
1404,1916,256,2907555055
497,2368,64,3181521388
701,2278,64,3427207327
886,810,256,2581630288
1395,879,32,4047446234
2367,291,32,3366849521
589,560,8,4202914004
2376,610,64,3427103722
165,1684,32,2836073638
1604,1381,8,13711118572
184,1626,64,2606650269
1811,1704,64,4475839820
1516,670,64,3136095712
67,2363,32,2669086916
2317,358,8,6768076387
2105,1409,256,2979767110
80,1694,8,3180680844
675,405,32,2829385410
928,1462,8,9517391394
1500,515,8,6433652362
1396,2178,64,4399804579
1243,1978,32,5562182287
291,2251,64,2864951972
1210,2271,32,5942059221
1509,763,64,3248691065
2347,2255,256,3370946950
97,114,256,1899775520
1618,276,8,4812719021
1632,2292,64,4810240973
589,791,8,4864199501
2035,2431,256,3209808125
62,23,64,1892921881
1189,350,64,2760291341
682,1519,8,7833190541
590,278,256,2504412904
225,2475,8,5305342230
895,1308,64,3196962501
1213,1304,256,2731332937
2181,1644,64,4786158105
145,1652,32,2746378689
33,24,256,1893492790
1442,1359,32,5001191219
112,1733,64,2558588559
1698,1393,256,2859874247
766,266,256,2507804593
1747,1021,32,4780343281
591,1097,64,2884673376
1358,1178,64,3492917301
80,2207,64,2581950818
1527,1000,64,3458646193
2303,1440,32,6706591401
1868,1423,256,2922859221
1761,2009,256,3037745903
632,1592,64,3086371439
1237,1151,64,3376145571
852,2259,32,4857911201
472,1184,64,2837028937
127,492,32,2559397082
1835,762,32,4247673934
1400,2284,256,2968290688
1662,477,256,2618736763
1796,1068,64,3738965828
333,1286,8,4684716459
669,920,32,3248234790
2001,1295,64,4204820482
2229,807,32,4780913047
943,2354,256,2795589731
62,1550,64,1901373411
1043,784,256,2616388337
2015,2233,32,8120948278
2296,2478,64,6117633256
2459,1926,64,5529122125
709,2409,8,11520593074
2149,24,8,2825368811
2181,67,8,3328239741
1830,2185,32,7604500054
2327,209,64,2821314062
1501,2349,8,20387398087
1388,787,64,3170167776
2369,974,8,14756198816
1707,2336,256,3101728965
2177,2109,32,8709234196
2334,2072,256,3283052972
1333,52,8,2895406817
2227,2373,8,29729785923
1315,712,8,7620119160
1114,1362,32,4379805432
1003,165,32,2718615164
225,1180,8,3835307417
239,147,256,1915433217
2009,213,256,2569315251
1953,1745,8,20578638683
314,749,8,3738736213
1366,1104,32,4398972940
908,1262,32,3936880564
2282,1609,256,3059454385
221,2125,64,2758009523
2337,1117,32,5864511864
519,1820,256,2666657057
18,2486,32,1902416923
1084,568,32,3259197129
2149,979,256,2833868518
1570,187,32,2891295532
47,1973,256,1911476281
171,1159,32,2742790205
1658,467,64,3015339079
1059,199,64,2643340994
2151,2480,64,5820998564
1223,1313,64,3518253648
1381,1451,64,3760876946
1404,1446,8,12958058727
1856,130,8,3842929824
1108,935,64,3117438171
1364,1198,64,3546683804
281,1871,64,2788495357
2294,635,8,10051404988
2003,2141,32,7852301930
2135,554,256,2682530580
1368,1502,64,3881031725
2347,867,256,2814079556
291,1231,256,2539042706
1392,2394,8,19560693919
2259,1601,64,4902926875
553,771,256,2560711936
1706,889,8,10242915953
769,2338,256,2797548924
172,432,32,2590555929
445,1170,32,3122315270
119,2044,8,3665883695
351,1901,64,2897876090
497,1453,256,2554036982
527,1485,8,6717987081
2144,1791,64,5023126477
403,332,32,2662223288
412,650,32,2803592266
2034,1354,64,4241643157
196,1181,8,3660073148
432,181,256,2509314169
1095,621,256,2595529388
210,1706,64,2712913260
2104,1143,32,5558269882
1193,1031,32,4040668267
2471,2134,256,3317695428
725,36,32,2524570215
306,396,256,2495109149
1719,806,256,2685373761
743,866,32,3306988035
2039,770,32,4496267389
1481,1866,64,4347891515
52,2171,32,2568396610
1493,660,256,2625911679
1687,1815,64,4431805087
623,1206,64,2934835771
1830,2443,8,26069566033
2202,786,32,4663972454
1173,1871,256,2794022914
29,1620,256,1899624095
1218,1173,256,2695038371
2329,2282,64,5958379607
462,135,256,2483241957
950,2095,32,5151810742
1252,1373,64,3575775679
1731,2292,64,5007301987
1018,1021,256,2600464025
454,1605,32,3407917388
1842,1356,32,5681564588
96,250,8,2619051749
1960,695,64,3376171725
1713,1840,8,18496463424
1447,2096,64,4389667332
10,1119,64,1902345068
1418,451,8,5762630170
1540,2072,32,6712865654
2102,2434,8,28628983686
1980,730,32,4354949015
2408,2283,64,5985763556
1357,273,8,4450883878
390,1510,32,3239958819
1841,1330,32,5549576219
1805,2368,32,8417615719
1835,846,8,10696505554
1610,1049,32,4643965373
1757,550,8,7455149440
2253,1625,256,3035862275
1579,2265,32,7072890588
570,1581,64,3003018317
582,2114,256,2681937329
11,1892,64,1889671776
731,279,256,2507652067
1954,751,256,2727347819
1135,262,8,4014071482
147,1203,8,3373407040
2500,752,8,12450951200
2437,1846,64,5450189435
1700,2168,32,7221512983
1198,61,32,2598342955
357,704,64,2638877408
1725,352,8,5637579085
2308,267,64,2893103936
2056,2228,32,8307401197
2286,1010,32,5443268469
451,1705,64,2981360798
586,1542,8,7106236886
480,1947,64,3051320771
731,610,32,3045275084
2168,69,256,2496642490
632,1664,32,3785802423
1719,646,8,8166502058
2234,1401,64,4491854768
2326,910,64,3835461646
340,2049,8,6035971697
1386,222,8,4127740871
601,1756,64,3153777412
2333,2323,256,3376410521
1431,729,64,3178885529
237,210,32,2552113251
1585,2271,256,3065124849
646,1226,8,6501686804
1669,997,8,11124026278
2366,241,8,5655812405
103,401,8,2683636420
53,2473,256,1898958409
2194,813,32,4939104754
1222,1042,8,8938329325
1723,1822,8,18916063524
697,74,64,2505769383
217,2295,256,1910868112
479,14,256,2468701219
136,896,256,1915038177
139,1711,32,2765086730
52,1658,256,1898348728
1036,489,64,2799723885
1524,1745,8,16590219649
784,548,64,2760694610
174,1370,64,2603523282
1089,2031,256,2841449679
35,2439,64,1905185916
2496,265,64,2915330500
2153,1374,256,2967033820
918,1539,64,3370275177
1645,2231,32,7110962412
1546,527,256,2629426749
1917,971,64,3658337059
1199,1510,64,3702765922
1017,1845,256,2726001820
1725,614,256,2649742907
236,102,32,2526328046
1637,2044,32,7179844958
1863,43,8,2963359472
1495,388,256,2590548566
91,1243,8,3055028300
213,2159,64,2748416016
1976,376,32,3459281602
1322,975,32,4138323220
2425,2041,32,8724310157
1508,1443,64,3868536837
1273,1908,256,2809828960
1422,1523,32,5226721722
1165,309,64,2722877723
1838,1389,64,4107633313
2389,924,64,3952814911
2070,715,64,3515482660
453,588,256,2518733419
202,982,64,2610312580
1514,2441,8,22148511422
1540,326,8,5119913946
632,1315,32,3509637901
970,417,256,2538518163
1379,877,8,8758228046
1000,1530,8,10270599541
116,976,8,3049513437
1334,1669,256,2847272067
2200,1266,8,17894313255
2395,149,64,2755259866
226,1401,32,2886618759
1948,2153,32,7906851546
277,404,256,2508710629
2199,1455,256,2989850048
1924,27,64,2544844776
2145,1205,8,15774260416
1822,1836,64,4653079754
1285,1078,64,3378222994
2071,2286,256,3273706639
2166,1505,256,3018285324
740,1367,32,3804658728
1321,1629,256,2866053092
984,1597,8,10579249831
1745,2011,32,7109247362
2098,1379,32,6218787987
473,206,32,2623495937
227,854,8,3464098779
168,358,256,1921431425
569,306,64,2571511882
1576,1335,32,5137277659
645,712,32,3117931895
370,2497,64,3005576786
731,5,32,2495711336
712,384,8,3954418071
2431,1830,32,8091501100
91,189,64,2496052485
1421,2234,64,4502024324
318,1994,64,2808656355
229,1249,256,1914442522
513,1143,8,5496498469
1911,1710,256,3010884250
2226,88,256,2522972006
417,1492,64,2858387505
546,913,256,2562239523
281,260,64,2561131940
948,390,8,4412074937
886,1217,256,2655095775
147,21,32,2513565769
1981,421,256,2648651130
1388,1963,8,17151624069
1766,582,32,3871759669
2177,1413,8,18353399723
1730,496,8,7060265486
942,2137,64,3711378414
2037,2196,256,3142534953
767,1658,8,8952263355
1364,1911,64,4125390320
2184,1497,32,6713618733
1572,1503,256,2885045397
2496,740,32,4911034561
2385,360,64,3060003969
356,73,256,2510319131
178,180,8,2655522183
2245,1540,256,3025124517
599,1422,256,2605388376
1386,1051,64,3383610272
1117,2007,256,2829387288
752,1887,32,4346087442
1292,2049,256,2932680787
1765,1347,64,4030399323
2499,131,8,4272481125
647,570,64,2726463321
2271,245,8,5555119610
2054,252,64,2841867971
2268,221,64,2810748297
797,1721,32,4153643818
555,1526,64,2992844700
182,1712,64,2635729341
82,1945,32,2649448493
1933,982,32,4936661873
2192,470,32,3819280711
751,545,256,2532567118
889,1120,256,2637688248
1912,1068,32,5246528045
1043,507,64,2832056264
647,1289,8,6721224450
85,83,32,2481503320
343,154,64,2513724295
1968,981,256,2812448670
1467,1934,256,2904705550
1306,2165,256,2940569595
2175,919,32,5020043198
1045,72,8,2916174960
1174,2398,8,17377678470
1552,1503,32,5448185495
1164,2246,256,2877114961
1521,918,256,2689494457
1870,921,32,4661598440
727,1705,8,9124204188
712,633,32,3055017805
1480,2168,8,19433705092
1963,111,64,2626645066
258,1970,32,3135042026
405,1449,256,2538815424
550,803,32,3038272829
83,2142,32,2656768175
209,1938,32,2954393603
2301,551,256,2680043495
219,2041,256,1898782651
1102,1780,8,12874214368
2288,652,8,10283250766
202,1143,32,2771324798
2194,1873,256,3129741724
645,1791,8,8399325858
2167,1422,64,4402722190
1911,1714,64,4534994334
976,2385,256,2809377300
1931,1311,256,2870133783
1408,1581,8,14752891101
1288,554,256,2595024054
1243,17,64,2504442490
1298,819,32,3845786258
1349,579,256,2611003776
32,2156,8,2852554164
2051,506,64,3186027137
759,299,32,2770568763
1216,909,64,3238857372
262,955,64,2648652163
488,571,256,2511395826
1028,391,64,2742306006
319,460,32,2679933569
1270,10,64,2497126315
391,264,32,2617949489
2293,1757,32,7674653694
1335,1827,64,4002946352
518,167,256,2497799746
991,1481,64,3411162007
788,2093,256,2764225830
1818,113,32,2759491829
2088,2084,256,3213793143
2218,411,32,3669380057
1149,679,256,2607965208
778,1006,8,6464679813
1951,1752,32,6760952730
2352,334,64,2994214354
1030,2488,8,15562423028
755,1860,32,4220178839
738,1652,256,2635962679
1527,1818,32,5987841950
2408,1504,32,7121870516
1403,446,64,2905127569
2436,782,256,2797082285
653,2107,64,3352741427
1549,731,8,8564823500
686,2017,8,9518625572
845,2433,256,2801566670
1975,1247,64,4082270732
1118,1706,32,4849642689
230,2443,256,1892913935
1697,1936,256,2981789456
667,846,32,3173437550
656,240,32,2684627526
2417,298,256,2605063477
1030,963,8,7595164816
1871,1252,64,4006244416
2073,2334,8,27938263069
1490,660,64,3126137458
982,2053,32,4994833386
1781,969,64,3573441805
605,1897,64,3188613749
788,2440,32,4902734673
1579,831,8,9191530619
991,1946,8,13020899975
1014,1056,32,3814850138
491,1707,32,3544221256
256,2215,256,2594651535
100,1986,8,3482590456
1210,780,8,7376322265
1975,1991,256,3094409785
134,2069,32,2836772212
1674,1586,32,5851216847
543,1419,256,2617652192
1465,901,64,3309386128
2288,793,256,2743890323
2478,925,32,5529531290
1955,2488,8,28959414585
316,1265,8,4498047232
1844,492,32,3649156228
2310,1786,32,7883457702
251,183,32,2561467878
292,1750,256,2560781904
2451,1121,32,5996979295
1448,82,64,2567782409
2458,1592,8,22541880134
1669,462,64,2997463467
709,1939,8,9489208755
2479,2295,32,10088537854
330,2219,8,6253349906
2029,1194,64,4048564947
1223,843,256,2641532305
262,1513,64,2740020198
251,1773,64,2716218012
928,1726,8,10895238260
1713,2471,32,7987652470
2498,52,32,2692958291
1768,2264,256,3091346139
2306,2006,32,8475259772
545,963,256,2557894048
571,1410,64,2962257083
1517,1763,8,16672835746
1694,528,8,7155369925
2280,485,32,3926168728
264,1505,64,2744579452
1956,1528,64,4372024225
584,2352,64,3349129845
1473,614,256,2623906291
2186,1530,256,2995257126
83,799,256,1893787019
1859,1018,32,5072713093
1039,2321,256,2862326297
515,1343,64,2934027418
1396,2221,8,18766607685
163,1165,64,2571439515
830,1835,32,4370689125
1117,90,256,2505312328
2212,931,64,3789934947
2267,303,8,6142615608
2410,1881,256,3214643807
1095,2381,256,2896433594
984,183,64,2610433119
1534,1354,256,2794349990
770,145,8,3072981742
309,837,8,3796145423
1415,800,32,3935741249
1051,887,64,3083262968
2171,2299,64,5618252250
1800,881,8,10511942463
449,935,256,2523166551
259,1057,64,2647006612
398,2338,64,3097972313
1089,1932,64,3840787229
1559,1174,8,12092761064
939,1089,8,7696888536
1456,2174,64,4471164440
482,1974,256,2593055959
86,953,64,2509694141
1544,1906,64,4403441235
863,881,64,2984967084
48,591,64,1894289619
2048,848,32,4749985706
2422,1098,8,16333478986
218,371,256,1903118029
635,500,256,2515795497
936,586,64,2821103827
602,817,64,2791991890
1331,1041,32,4241863398
14,2073,32,1914888837
835,644,8,5274941970
1391,405,64,2844633593
467,2267,64,3119346408
1955,1285,256,2872447610
1233,23,8,2685391969
159,1860,32,2800790213
556,1521,32,3552071445
1239,2310,64,4292770614
1989,27,64,2525263966
788,1417,256,2663971904
1823,1504,256,2954129616
1154,247,64,2662532599
951,1457,256,2692394490
2111,2060,256,3200889093
614,498,256,2546442469
709,404,256,2527833126
2258,547,8,8893314813
1792,916,32,4672816248
699,1715,64,3177380788
557,1453,8,6598768610
1637,1584,8,15438304862
1915,1994,32,7290146352
1417,2266,256,2967952638
949,532,256,2564593404
1426,1639,64,3985056399
1291,1232,32,4622818946
1560,1596,32,5629199018
2036,896,8,12673672277
703,1258,64,3001844425
2256,175,32,3012098493
284,283,8,2904725967
1209,2128,64,4056039704
1599,1309,32,5099910352
813,21,256,2491231555
483,345,32,2703533536
191,528,32,2591350432
829,1121,256,2632047480
798,1100,64,3050231171
849,1004,32,3534168695
2460,977,256,2876032263
2374,251,64,2881498898
1618,1800,8,17360719801
1340,1831,256,2893006043
1513,1393,32,5122167585
1998,2477,8,29697491497
2324,1835,64,5379584395
2274,2430,8,32579965420
1214,1090,32,4144261565
2060,1477,256,3007156661
682,1871,256,2666253155
115,1958,8,3649300991
748,1327,32,3727626594
1326,581,32,3459745169
814,2301,32,4913815970
931,1066,32,3741499118
690,1816,256,2649082726
1390,552,64,2956113351
521,94,8,2761574849
1221,2155,32,5866652722
1800,1541,8,17011751675
31,2032,32,1899993047
1713,1330,256,2830168900
1513,1827,8,16428413249
1863,1663,256,2970615504
2047,927,64,3668440007
150,2278,64,2660558903
1922,353,8,6302034824
1836,1460,8,16620841188
707,301,64,2621436502
1222,2489,32,6592504562
536,957,32,3124153569
1879,1211,256,2865838225
1350,1212,64,3545646386
135,703,8,2961770553
868,2263,256,2787362622
989,209,256,2519925811
1153,140,32,2711864926
517,997,256,2565240455
956,605,8,5422593213
2196,347,32,3473178852
7,2358,64,1918430308
732,2398,256,2677428528
1176,1590,8,12193789425
2491,805,32,5057039082
1293,592,64,2980911962
1602,2086,8,20506279068
1931,1288,32,5796613995
298,875,64,2634731445
107,845,32,2600239024
257,1568,64,2747617726
1676,1452,64,4049594487
818,229,64,2601651930
199,675,8,3158322695
1633,418,64,2923757781
136,722,256,1910899547
491,1317,32,3294064710
1239,166,256,2523836413
2064,353,256,2612380257
1778,50,8,3022924523
1152,383,32,3085453950
677,1546,256,2630531021
89,479,32,2521161314
1715,2263,256,3109332608
125,1694,8,3517838079
1931,1927,32,7318064504
2352,1284,8,17913216661
341,1576,256,2561562408
1046,1974,8,13594590426
1151,1728,256,2778287951
2372,476,8,8378853899
10,392,64,1923213344
134,129,256,1913640189
556,2175,8,8640439015
1192,549,32,3342550391
1727,1550,32,5969477084
1100,2173,256,2869750140
1116,2136,8,14872936852
1672,2145,256,3051284212
306,1165,32,2925051743
2142,440,256,2639524760
1045,2058,256,2851557848
2398,2290,32,9566415925
232,891,64,2610518612
815,324,256,2538628087
568,2290,64,3311299499
1332,2356,256,2989475365
1571,2258,32,7064596937
55,1367,256,1912652310
2102,1219,32,5792546080
1874,1971,8,22046433947
521,1399,64,2955976274
1457,1528,32,5340373140
1727,641,256,2652057406
883,2374,256,2805694806
1685,2204,32,7196063688
826,128,32,2627169547
193,544,256,1892751118
2222,756,256,2739013306
1490,384,8,5510886167
657,428,256,2538193414
2191,650,64,3401582299
54,1847,256,1905633027
1679,734,32,4176707274
1920,1348,256,2881466718
2075,424,64,3026762890
823,423,8,4266377878
143,2102,32,2840835131
975,1815,8,11614958548
1107,2254,256,2864093699
621,1391,64,2999723433
831,983,32,3487701894
1541,854,8,9586834486
1329,188,256,2536604258
1508,814,256,2656993096
532,506,256,2529119034
98,1705,32,2685608294
2100,513,32,3898805669
251,551,32,2648115955
162,1129,64,2569758425
2023,2221,64,5536855881
246,659,8,3298553625
2221,2350,32,9175611899
1925,1806,64,4757096408
260,409,32,2620531649
1858,753,32,4297527360
1800,2324,8,25200446763
1918,953,64,3706928009
1398,2100,8,17951853933
3,1269,64,1899168774
80,1068,8,2917552933
366,321,8,3082455376
294,37,256,2496211289
1747,170,8,4080263919
2230,2187,8,27649656178
758,1326,256,2596922725
1320,478,64,2892686094
483,2058,8,7471607619
1068,2331,256,2891095465
1522,2461,8,22039521866
2363,334,8,6612712037
300,126,32,2528180727
358,1231,256,2541046986
211,1599,64,2677277457
762,956,8,6295409410
1431,2224,256,2959471148
1293,741,8,7449221865
1600,115,64,2622421448
573,882,8,5024419457
1895,2339,8,25262685851
660,1650,32,3836527383
2476,739,256,2779057064
186,2038,8,4451735069
2010,1327,256,2874919203
214,734,32,2667751223
625,2199,8,9445206567
1616,39,32,2601817277
2352,1885,32,8523264054
574,1851,256,2649015119
370,278,8,3016549567
194,2147,64,2748856530
919,509,256,2558154795
2237,1169,64,4118880593
2177,2440,32,9426131988
305,925,32,2834193260
1663,1764,64,4302423413
600,2184,32,4135523007
33,1953,8,2819763198
2471,180,8,4828618617
985,787,8,6543736535
1278,77,64,2564060694
2354,266,256,2581626799
1347,2354,64,4682542687
2278,1428,8,19167815623
2262,226,32,3165140396
2217,1011,8,13894967871
656,421,32,2828550634
1488,740,8,8265988464
789,77,32,2554399773
663,327,8,3582854630
1054,263,256,2547151110
1366,2328,256,2983968437
501,589,8,3999456551
1150,624,64,2923380551
1603,1493,64,4045021376
2010,1391,256,2904150301
763,834,32,3312995758
759,53,32,2548322473
371,599,32,2755671011
1802,2246,256,3183852196
444,1449,64,2829403511
1637,1147,64,3677066048
2315,1134,8,16258334209
2133,1515,8,18995843210
373,546,64,2611758293
833,1017,64,3022978186
1546,692,32,3837596355
357,806,8,4093024746
2318,1088,256,2901796864
360,1324,256,2536772746
1032,1678,32,4827554523
2339,2031,256,3277089059
1995,954,64,3758710836
610,2459,32,4438729116
947,1503,64,3377753532
851,2147,8,12395088514
887,1794,32,4724397303
1644,625,256,2662939324
2329,734,256,2768280863
1278,2298,64,4278032818
2246,1277,8,18059341594
1336,1311,64,3633464952
1121,1186,256,2700908614
852,1543,64,3317994347
1995,1235,64,4080878701
683,722,256,2565833845
2345,1032,256,2899125982
503,1984,32,3727560895
572,797,32,3053128244
537,2137,64,3183638325
2106,319,64,2934532133
2340,2171,32,9105599675
2401,360,64,3060175240
817,1209,8,7576097296
1569,2249,8,20760458648
1971,115,256,2541499076
891,1471,64,3296186691
410,1077,64,2749998679
1541,2111,32,6723485841
2362,1239,8,17429723132
1301,1469,32,4993801685
13,2267,8,2579768809
2057,127,32,2845957881
141,2002,64,2670336435
2224,1849,8,24931509765
2459,792,8,12900575560
2258,1652,32,7432210276
580,2338,256,2694187328
2270,1847,64,5180192767
1248,1476,64,3674494573
2437,2467,64,6432287047
1164,4,8,2570259563
1489,243,8,4387431507
543,2093,64,3175670144
2173,2143,64,5581373071
692,225,64,2585570144
659,1739,256,2622375443
1508,1877,8,17364288189
2122,70,64,2595830085
1142,2017,8,14035847400
518,506,64,2649083818
366,131,8,2738926005
60,158,256,1892414432
122,1090,32,2612530348
855,48,32,2535104291
1880,28,256,2503018548
1241,653,8,6656804675
814,1142,256,2631515460
352,2128,8,6303647058
2178,1021,256,2844971763
1182,1773,64,3806761034
1385,2002,64,4216634605
294,2323,256,2579607688
1895,1915,8,21650149327
1988,703,256,2699653193
2306,239,32,3219202101
1004,1533,256,2686956186
197,531,256,1895970481
23,692,64,1896285731
1809,916,8,11114914713
1326,1586,64,3776729487
1434,738,8,8091872217
1981,1293,8,15414911400
1232,1037,256,2664007253
902,1469,256,2678549404
1879,1196,256,2854873656
311,1577,32,3063256469
275,2239,8,5638226584
724,1841,64,3307840223
1999,358,8,6210252900
2273,620,32,4402391691
2332,1733,32,7550747156
2422,993,8,14682879872
447,1262,32,3156313336
1894,1845,256,3045460244
72,962,32,2565661943
1629,401,8,5853822916
839,2345,64,3714792845
122,841,8,3016900475
1756,416,256,2589817947
1451,1491,8,13614073583
1605,758,32,4065328181
1973,1394,256,2894938020
2275,2309,256,3271898599
357,378,32,2677635513
321,1443,64,2799956218
1596,567,64,3055659784
1912,1135,64,3920387378
22,1450,32,1906175851
1404,703,32,3718301185
547,1414,8,6628541188
2220,785,64,3587559080
1353,137,32,2733088654
2470,2026,32,9028519236
1582,10,64,2501388626
480,1563,64,2949694136
1882,1764,64,4614063683
973,1004,256,2608596892
1559,539,32,3556737834
1252,689,32,3606054964
703,638,8,4902975445
1852,2500,256,3245789498
2007,2003,32,7594484347
1265,272,64,2691984202
1394,253,32,2932881162
803,1748,256,2709204228
552,1879,8,7766022877
1779,2162,32,7308714069
2360,548,64,3315744675
791,933,64,2959917168
761,482,64,2708664137
512,1798,8,7186565415
2188,1306,32,6122351247
2254,1354,256,2951292779
2410,726,8,11505881250
677,1543,32,3792594285
2017,1754,64,4693264033
58,1042,64,1907998816
1156,1654,64,3728965295
654,2068,64,3335145774
115,947,32,2607369384
388,278,32,2637010890
2295,2328,64,5848524915
1531,2045,32,6419154866
2467,1097,64,4199107454
1581,165,8,3878856609
2339,1856,8,24928125577
1654,1471,32,5574928683
238,289,32,2565538862
1088,1560,64,3600206083
68,826,256,1898900538
820,1541,256,2696515146
2373,2235,32,9213081323
1324,727,32,3701119120
1989,254,32,3153917570
593,142,256,2492819890
1337,2301,8,18364715181
1390,211,64,2686729112
1099,975,32,3840173665
405,677,256,2511245469
636,2306,8,10210729073
1796,2119,8,22660294839
1750,983,256,2748202802
891,1759,8,10437422929
1806,2181,64,5002520955
908,1037,8,7345453040
143,714,32,2617733359
2476,459,256,2670331805
2352,1986,8,27365996293
7,534,8,1912072394
620,1727,256,2639025907
1441,878,32,4118488324
816,1499,64,3256180441
2439,245,256,2584511332
2077,676,32,4263908571
88,103,8,2543946668
1215,1649,64,3723520297
1073,1509,32,4633042665
2477,558,64,3437442880
164,2450,64,2716849105
1289,185,32,2801140425
865,759,64,2898972999
1741,1834,64,4573987892
746,1277,32,3722345248
1842,694,256,2719404831
954,1407,256,2668160880
1248,2111,32,5882792323
1263,1312,8,10790106221
1816,1541,32,6045339870
874,1904,32,4594092896
2478,1445,256,3064515994
439,1117,8,5092491788
1464,1547,32,5395991107
2136,568,32,4157574329
802,221,64,2602608128
520,2148,64,3194961673
644,502,8,4159199783
1417,94,8,3253687292
2078,2318,8,28038824821
176,1647,256,1908380692
2118,591,32,4094673413
455,2206,8,7604906496
1909,1423,32,5927669182
24,1889,32,1901860493
658,2069,256,2666793330
1142,979,32,3886234607
1062,907,256,2656471693
1690,1247,32,5171567882
257,2075,8,5274797831
1069,1886,32,5109965326
1880,1798,8,20734580812
1061,1463,64,3473714767
2379,1778,32,7834541049
1959,1895,32,7198148464
660,2168,256,2667927202
786,12,256,2507616003
419,561,32,2786702710
173,1893,64,2657778650
1976,1104,64,3887521006
1039,1868,32,5064270686
1461,1665,32,5531615483
625,745,64,2768406031
2483,647,64,3596037716
957,1035,32,3758939707
1843,317,32,3234765242
1689,83,8,3281407106
781,79,64,2531371122
969,1813,256,2721190243
244,1395,256,1903719364
478,1209,64,2848433777
843,302,8,3888448743
2150,888,256,2807798942
1096,543,8,5560777677
2344,2404,8,32272361274
1854,722,8,9412078021
2189,1941,64,5296186570
1602,180,64,2680569806
996,1352,64,3316529549
1878,185,256,2536250058
521,691,8,4426196863
290,269,64,2547741665
111,1055,8,3037989675
572,834,8,4916083528
1195,1741,64,3777507814
1198,1779,64,3821535713
713,2040,32,4292425427
393,2461,64,3087843433
2345,114,32,2846217688
1900,125,32,2801750626
243,752,32,2697443309
756,1370,64,3105858204
2058,1707,64,4712180716
2313,2143,256,3333807772
1852,1777,8,20091619077
1473,1765,32,5806780627
1650,2297,32,7216813773
1884,909,8,11728504086
176,2144,32,2910943972
163,1832,32,2874819132
2206,505,64,3231765055
131,1173,8,3256136558
813,925,8,6320067987
639,874,8,5299887590
990,1721,8,11827316044
252,1578,8,4488376971
2016,1188,8,15644432462
1640,1704,8,16975633500
1197,723,8,6921548742
1792,1631,32,6241181148
1624,2093,32,6770151974
1696,918,256,2725753508
